,Date,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation,Workplace_Closure,Workplace_Gathering,Worship,Dine_in_Max
232,2020-09-11,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
233,2020-09-12,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
234,2020-09-13,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
235,2020-09-14,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
236,2020-09-15,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
237,2020-09-16,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
238,2020-09-17,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
239,2020-09-18,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
240,2020-09-19,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
241,2020-09-20,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
242,2020-09-21,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
243,2020-09-22,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
244,2020-09-23,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
245,2020-09-24,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
246,2020-09-25,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
247,2020-09-26,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
248,2020-09-27,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
249,2020-09-28,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
250,2020-09-29,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
251,2020-09-30,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
252,2020-10-01,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
253,2020-10-02,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
254,2020-10-03,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
255,2020-10-04,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
256,2020-10-05,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
257,2020-10-06,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
258,2020-10-07,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
259,2020-10-08,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
260,2020-10-09,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
261,2020-10-10,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
262,2020-10-11,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
263,2020-10-12,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
264,2020-10-13,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
265,2020-10-14,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
266,2020-10-15,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
267,2020-10-16,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
268,2020-10-17,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
269,2020-10-18,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
270,2020-10-19,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
271,2020-10-20,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
272,2020-10-21,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125
